Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC,False_Positive_Rate,False_Negative_Rate
XGBoost,0.9994908886626171,0.8631578947368421,0.8367346938775511,0.8497409326424871,0.9822026130373366,0.8767081405221,0.00022861564434440066,0.16326530612244897
Random Forest,0.9995084442259752,0.9605263157894737,0.7448979591836735,0.8390804597701149,0.9619838562183455,0.8645909793386286,5.2757456387169386e-05,0.25510204081632654
Logistic Regression,0.9736666549629578,0.056329113924050635,0.9081632653061225,0.10607866507747318,0.9733380145108128,0.7223660169437384,0.026220455824423186,0.09183673469387756
